Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Gross Revenue,Date,Time,Payment,Unit Cost
765-26-6951,A,Chennai,Normal,Male,Sports and travel,72.61,6,3.63,457.44,01-01-2019,10:39,Credit card,13.8
530-90-9855,A,Chennai,Member,Male,Home and lifestyle,47.59,8,2.38,399.76,01-01-2019,14:47,Cash,7.61
891-01-7034,B,Mumbai,Normal,Female,Electronic accessories,74.71,6,3.74,470.67,01-01-2019,19:07,Cash,11.95
493-65-6248,C,Nagpur,Member,Female,Sports and travel,36.98,10,1.85,388.29,01-01-2019,19:48,Credit card,5.92
556-97-7101,C,Nagpur,Normal,Female,Electronic accessories,63.22,2,3.16,132.76,01-01-2019,15:51,Cash,12.64
133-14-7229,C,Nagpur,Normal,Male,Health and beauty,62.87,2,3.14,132.03,01-01-2019,11:43,Cash,9.43
651-88-7328,A,Chennai,Normal,Female,Fashion accessories,65.74,9,3.29,621.24,01-01-2019,13:55,Cash,13.81
651-88-7328,A,Chennai,Member,Female,Sports and travel,27.04,4,1.35,113.57,01-01-2019,20:26,Ewallet,4.33
416-17-9926,A,Chennai,Member,Female,Electronic accessories,74.22,10,3.71,779.31,01-01-2019,14:42,Credit card,14.1
271-77-8740,C,Nagpur,Member,Female,Sports and travel,29.22,6,1.46,184.09,01-01-2019,11:40,Ewallet,5.55
770-42-8960,B,Mumbai,Normal,Male,Food and beverages,21.12,8,1.06,177.41,01-01-2019,19:31,Cash,3.8
746-04-1077,B,Mumbai,Member,Female,Food and beverages,84.63,10,4.23,888.62,01-01-2019,11:36,Credit card,16.93
504-35-8843,A,Chennai,Normal,Male,Sports and travel,42.47,1,2.12,44.59,01-02-2019,16:57,Cash,9.34
446-47-6729,C,Nagpur,Normal,Male,Fashion accessories,99.82,2,4.99,209.62,01-02-2019,18:09,Credit card,18.97
244-08-0162,B,Mumbai,Normal,Female,Health and beauty,34.21,10,1.71,359.21,01-02-2019,13:00,Cash,7.18
244-08-0162,B,Mumbai,Member,Male,Fashion accessories,40.61,9,2.03,383.76,01-02-2019,13:40,Cash,7.31
744-09-5786,B,Mumbai,Normal,Male,Electronic accessories,22.01,6,1.1,138.66,01-02-2019,18:50,Cash,5.06
712-39-0363,A,Chennai,Member,Male,Food and beverages,41.66,6,2.08,262.46,01-02-2019,15:24,Ewallet,9.58
345-68-9016,C,Nagpur,Member,Female,Sports and travel,31.67,8,1.58,266.03,01-02-2019,16:19,Credit card,6.65
670-71-7306,B,Mumbai,Normal,Male,Sports and travel,44.63,6,2.23,281.17,01-02-2019,20:08,Credit card,9.37
249-42-3782,A,Chennai,Normal,Male,Health and beauty,70.01,5,3.5,367.55,01-03-2019,11:36,Ewallet,14
749-24-1565,A,Chennai,Normal,Female,Health and beauty,23.03,9,1.15,217.63,01-03-2019,12:02,Ewallet,4.38
687-15-1097,C,Nagpur,Member,Female,Health and beauty,21.12,2,1.06,44.35,01-03-2019,19:17,Cash,4.65
422-29-8786,A,Chennai,Normal,Female,Home and lifestyle,67.09,5,3.35,352.22,01-03-2019,16:47,Credit card,12.08
343-87-0864,C,Nagpur,Member,Male,Health and beauty,75.88,1,3.79,79.67,01-03-2019,10:30,Credit card,16.69
875-31-8302,B,Mumbai,Normal,Male,Sports and travel,93.38,1,4.67,98.05,01-03-2019,13:07,Cash,14.01
501-61-1753,B,Mumbai,Normal,Female,Home and lifestyle,63.15,6,3.16,397.85,01-03-2019,20:24,Ewallet,13.26
552-44-5977,B,Mumbai,Member,Male,Health and beauty,62,8,3.1,520.8,01-03-2019,19:08,Credit card,11.16
279-74-2924,B,Mumbai,Member,Male,Electronic accessories,72.17,1,3.61,75.78,01-04-2019,19:40,Cash,16.6
672-51-8681,C,Nagpur,Member,Female,Electronic accessories,66.65,9,3.33,629.84,01-04-2019,18:19,Credit card,14
656-16-1063,B,Mumbai,Normal,Male,Sports and travel,46.42,3,2.32,146.22,01-04-2019,13:24,Credit card,9.75
731-14-2199,A,Chennai,Member,Female,Home and lifestyle,35.54,10,1.78,373.17,01-04-2019,13:34,Ewallet,7.82
725-32-9708,B,Mumbai,Member,Female,Fashion accessories,68.71,4,3.44,288.58,01-04-2019,19:01,Cash,15.12
132-23-6451,A,Chennai,Member,Male,Health and beauty,20.97,5,1.05,110.09,01-04-2019,13:21,Cash,3.98
750-67-8428,A,Chennai,Member,Female,Health and beauty,74.69,7,3.73,548.97,01-05-2019,13:08,Ewallet,12.7
628-34-3388,C,Nagpur,Normal,Male,Fashion accessories,27.38,6,1.37,172.49,01-05-2019,20:54,Credit card,4.11
217-58-1179,A,Chennai,Member,Male,Home and lifestyle,62.65,4,3.13,263.13,01-05-2019,11:25,Cash,11.9
144-51-6085,A,Chennai,Member,Male,Home and lifestyle,70.74,4,3.54,297.11,01-05-2019,16:05,Credit card,15.56
843-01-4703,B,Mumbai,Member,Female,Home and lifestyle,35.38,9,1.77,334.34,01-05-2019,19:50,Credit card,5.31
